	antec	licenser	is_cataphoric	cl_distance	node_id	nsp_score	same_mod	same_mod_class	l_mod_class	subj_imperat	is_rel	y
0	cancan21-0006-0000-4	cancan21-0006-0012-12	0.0	26.0	0.04	0.00014648016076534986	0.0	0.0	2.0	0.0	0.0	0.0
1	cancan21-0006-0001-10	cancan21-0006-0012-12	0.0	24.0	0.1	0.05084206163883209	0.0	1.0	2.0	0.0	0.0	0.0
2	cancan21-0006-0001-13	cancan21-0006-0012-12	0.0	23.0	0.13	0.047351639717817307	0.0	1.0	2.0	0.0	0.0	0.0
3	cancan21-0006-0001-18	cancan21-0006-0012-12	0.0	22.0	0.18	0.0028058539610356092	0.0	0.0	2.0	0.0	0.0	0.0
4	cancan21-0006-0001-30	cancan21-0006-0012-12	0.0	21.0	0.3	0.016811134293675423	0.0	0.0	2.0	0.0	0.0	0.0
5	cancan21-0006-0001-35	cancan21-0006-0012-12	0.0	20.0	0.35	0.10910063982009888	0.0	0.0	2.0	0.0	0.0	0.0
6	cancan21-0006-0002-3	cancan21-0006-0012-12	0.0	19.0	0.03	0.007743048947304487	0.0	0.0	2.0	0.0	0.0	0.0
7	cancan21-0006-0002-10	cancan21-0006-0012-12	0.0	18.0	0.1	0.00014475744683295488	0.0	0.0	2.0	0.0	0.0	0.0
8	cancan21-0006-0002-24	cancan21-0006-0012-12	0.0	18.0	0.24	0.00014475744683295488	0.0	1.0	2.0	1.0	0.0	0.0
9	cancan21-0006-0003-7	cancan21-0006-0012-12	0.0	17.0	0.07	0.00019842472102027386	0.0	0.0	2.0	0.0	0.0	0.0
10	cancan21-0006-0003-11	cancan21-0006-0012-12	0.0	17.0	0.11	0.00019842472102027386	0.0	0.0	2.0	0.0	0.0	0.0
11	cancan21-0006-0003-21	cancan21-0006-0012-12	0.0	16.0	0.21	0.01961442269384861	0.0	0.0	2.0	0.0	0.0	0.0
12	cancan21-0006-0004-10	cancan21-0006-0012-12	0.0	15.0	0.1	0.019133342429995537	0.0	0.0	2.0	0.0	0.0	0.0
13	cancan21-0006-0004-21	cancan21-0006-0012-12	0.0	14.0	0.21	0.006755565758794546	0.0	0.0	2.0	0.0	0.0	0.0
14	cancan21-0006-0005-8	cancan21-0006-0012-12	0.0	12.0	0.08	6.987930100876838e-05	0.0	0.0	2.0	0.0	0.0	0.0
15	cancan21-0006-0005-11	cancan21-0006-0012-12	0.0	12.0	0.11	6.987930100876838e-05	0.0	0.0	2.0	1.0	0.0	0.0
16	cancan21-0006-0005-12	cancan21-0006-0012-12	0.0	12.0	0.12	6.987930100876838e-05	0.0	0.0	2.0	0.0	0.0	0.0
17	cancan21-0006-0005-15	cancan21-0006-0012-12	0.0	12.0	0.15	6.987930100876838e-05	0.0	0.0	2.0	0.0	0.0	0.0
18	cancan21-0006-0005-20	cancan21-0006-0012-12	0.0	12.0	0.2	6.987930100876838e-05	0.0	0.0	2.0	0.0	0.0	0.0
19	cancan21-0006-0006-4	cancan21-0006-0012-12	0.0	11.0	0.04	0.003588020335882902	0.0	0.0	2.0	0.0	0.0	0.0
20	cancan21-0006-0006-8	cancan21-0006-0012-12	0.0	11.0	0.08	0.003588020335882902	0.0	0.0	2.0	0.0	0.0	0.0
21	cancan21-0006-0006-15	cancan21-0006-0012-12	0.0	11.0	0.15	0.003588020335882902	0.0	1.0	2.0	0.0	0.0	0.0
22	cancan21-0006-0006-18	cancan21-0006-0012-12	0.0	11.0	0.18	0.003588020335882902	0.0	0.0	2.0	1.0	0.0	0.0
23	cancan21-0006-0007-10	cancan21-0006-0012-12	0.0	10.0	0.1	0.006684671156108379	0.0	0.0	2.0	0.0	0.0	0.0
24	cancan21-0006-0007-14	cancan21-0006-0012-12	0.0	10.0	0.14	0.006684671156108379	0.0	0.0	2.0	0.0	0.0	0.0
25	cancan21-0006-0007-20	cancan21-0006-0012-12	0.0	9.0	0.2	0.0018845363520085812	0.0	0.0	2.0	0.0	0.0	0.0
26	cancan21-0006-0008-3	cancan21-0006-0012-12	0.0	8.0	0.03	0.0033993073739111423	0.0	0.0	2.0	0.0	0.0	0.0
27	cancan21-0006-0008-10	cancan21-0006-0012-12	0.0	7.0	0.1	0.35598745942115784	0.0	0.0	2.0	0.0	0.0	0.0
28	cancan21-0006-0008-18	cancan21-0006-0012-12	0.0	6.0	0.18	0.019331037998199463	0.0	0.0	2.0	0.0	0.0	0.0
29	cancan21-0006-0009-6	cancan21-0006-0012-12	0.0	4.0	0.06	0.5044966340065002	0.0	0.0	2.0	0.0	0.0	0.0
30	cancan21-0006-0010-8	cancan21-0006-0012-12	0.0	3.0	0.08	0.8174811601638794	0.0	0.0	2.0	0.0	0.0	0.0
31	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
32	cancan21-0006-0013-2	cancan21-0006-0012-12	1.0	1.0	-0.02	0.008835721760988235	0.0	0.0	2.0	0.0	0.0	0.0
33	cancan21-0006-0013-7	cancan21-0006-0012-12	1.0	2.0	-0.07	0.5518071055412292	0.0	0.0	2.0	0.0	0.0	0.0
34	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
35	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
36	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
37	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
38	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
39	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
40	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
41	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
42	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
43	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
44	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
45	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
46	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
47	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
48	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
49	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
50	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
51	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
52	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
53	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
54	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
55	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
56	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
57	cancan21-0006-0011-3	cancan21-0006-0012-12	0.0	2.0	0.03	0.059640731662511826	0.0	0.0	2.0	0.0	0.0	1.0
